GID_date,C14_date_BP,C14_date_StDev,C14_date_calBC,C14_calibration_programme,C14_calibration_curve,Dating_lab,Lab_date_ID,HER_material_dated,Material_dated,C14_combined,Dating_notes
50368,3273,30,1620 to 1440 cal BC,Not known,Not known,"Rafter Radiocarbon Lab (AMS), New Zealand",NZA-22740,,Human bone (unburnt),Uncal: 3273±30; Cal: 1620 to 1440 cal BC,Human bone associated with amber beadsCalibration programme: OxCal ver 3.995% confidence level 
50388,-1045; -925,None; None,,,,,,,,Uncal: -1045; -925±None; None; Cal: ,
50653,-1300; -1255,110; 135,,,,,,,,Uncal: -1300; -1255±110; 135; Cal: ,
50675,-3852,33,2459-2270,,,University of Waikato,Wk-18733,,Human bone (unburnt),Uncal: -3852±33; Cal: 2459-2270,
50787,35,85,,,,,,,,Uncal: 35±85; Cal: ,
40785,2237,34,,,,,,,,Uncal: 2237±34; Cal: ,
20433,-2500,80,,,,,,,,Uncal: -2500±80; Cal: ,
73467,3620,120,2301-1664,Not known,Not known,Oxford Radiocarbon Accelerator Unit,OxA-4545,,Human bone/tooth (unspecified),Uncal: 3620±120; Cal: 2301-1664,
50326,3630,45,2065-1890,,,British Museum,BM-2975,,Human bone/tooth (unspecified),Uncal: 3630±45; Cal: 2065-1890,
50602,,,2280-1980,,,,,,Human bone/tooth (unspecified),Uncal: ±; Cal: 2280-1980,
73632,3852,33,2459-2270,,,,??,,,Uncal: 3852±33; Cal: 2459-2270,
50757,3620,120,2310-1664,,,Oxford Radiocarbon Accelerator Unit,OxA-4545,,Human bone/tooth (unspecified),Uncal: 3620±120; Cal: 2310-1664,
10041,3510,70,2030-1660,,,Harwell,HAR-8099,,Charcoal (unspecified),Uncal: 3510±70; Cal: 2030-1660,charcoal from pre-cairn hearth or fire setting (?could it be the pyre)
10176,-1700,80,,,,,,,,Uncal: -1700±80; Cal: ,
10278,-3320; -3305,35; 35,,,,,,,,Uncal: -3320; -3305±35; 35; Cal: ,
60000,3580,45,2120 to 1770 cal BC,OxCal 3.10,,"National Science Foundation Radiocarbon Facility University of Arizona, USA",AA-24956,charcoal,,Uncal: 3580±45; Cal: 2120 to 1770 cal BC,"Reference: Ashmore 1997Sample desc.: A single piece of Pomoideae sp. charcoal from an ard mark cut into green clay; seemingly a clay early in the sequence, although it overlies at least one OGS. Appears to have dropped into an ard mark, rather than having been ploughed up from below; but it was abraded and this cannot be proved.Researcher: Ashmore 1997Sponsor: Historic ScotlandDate completed: NullDelta-13C: -26.6Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60000,3495,45,1940 to 1680 cal BC,OxCal 3.10,,"National Science Foundation Radiocarbon Facility University of Arizona, USA",AA-24957,charcoal,,Uncal: 3495±45; Cal: 1940 to 1680 cal BC,"Reference: Ashmore 1997Sample desc.: A single piece of heather charcoal from a charcoal spread under B134, the line of stones running from stone 44 (at B117, natural soil build-up). Its ultimate origin is uncertain. It could have come from clearing out of the chambered cairn. It gives a TPQ for the line of stone B134. Since it is a single twig it probably has not been moved around a lot.Researcher: Ashmore 1997Sponsor: Historic ScotlandDate completed: NullDelta-13C: -25Delta-13C error: NullDelta-r: NullDelta-r error: Null"
