Object_type_code,Object_category,Object_type,Object_type_specific,Combined_object,Object_count
1,Animal bone,Animal Bone (Other),,Animal Bone (Other),176
3,Animal bone,Animal Burial (Specified type),,Animal Burial (Specified type),48
2,,Animal Burial (Unknown/Unspecified),,Animal Burial (Unknown/Unspecified),0
8,Animal bone,Animal Joint/Part,Tooth/Tusk/Horn/Antler,Animal Joint/Part [Tooth/Tusk/Horn/Antler],48
9,Animal bone,Animal Joint/Part,Limb,Animal Joint/Part [Limb],88
11,Animal bone,Animal Joint/Part,Head,Animal Joint/Part [Head],71
14,Animal bone,Animal Joint/Part,Trunk,Animal Joint/Part [Trunk],13
237,Animal bone,Animal Joint/Part (Other specified part),,Animal Joint/Part (Other specified part),35
229,Animal bone,Animal Joint/Part (Unknown/Unspecified),,Animal Joint/Part (Unknown/Unspecified),7
15,Jewellery,Anklet,,Anklet,1
253,Tool,Ard,,Ard,1
223,Weaponry,Arm Guard/Bracer,,Arm Guard/Bracer,5
17,Jewellery,Armlet,,Armlet,19
18,Flint tool,Arrowhead,Barbed,Arrowhead [Barbed],2
19,Flint tool,Arrowhead,Chisel,Arrowhead [Chisel],1
20,Flint tool,Arrowhead,Leaf-shaped,Arrowhead [Leaf-shaped],23
21,Flint tool,Arrowhead,Barbed and Tanged,Arrowhead [Barbed and Tanged],32
22,Flint tool,Arrowhead (Unknown/Unspecified),,Arrowhead (Unknown/Unspecified),12
225,Other,Assemblage,,Assemblage,89
272,Other,Assemblage (Mixed),,Assemblage (Mixed),3
23,Tool,Awl,,Awl,64
24,Axe,Axe/Axehead,Axe (Perforated),Axe/Axehead [Axe (Perforated)],15
25,Axe,Axe/Axehead,Axe (Polished),Axe/Axehead [Axe (Polished)],15
26,Axe,Axe/Axehead,Axe (Socketed),Axe/Axehead [Axe (Socketed)],0
27,Axe,Axe/Axehead (Unknown/Unspecified),,Axe/Axehead (Unknown/Unspecified),17
28,Container,Bag,,Bag,37
29,Container,Basket,,Basket,6
30,Jewellery,Bead(s),,Bead(s),89
258,Coffin,Bier,,Bier,12
95,Flint tool,Blade,,Blade,19
33,Container,Bowl,,Bowl,2
34,Container,Box,,Box,8
35,Jewellery,Bracelet/Bangle (Specified type),,Bracelet/Bangle (Specified type),36
39,Jewellery,Bracelet/Bangle (Unknown/Unspecified),,Bracelet/Bangle (Unknown/Unspecified),37
41,Other,Bracket,,Bracket,1
42,Pin/point/brooch_b,Brooch (Specified type),,Brooch (Specified type),251
55,Pin/point/brooch_b,Brooch (Unknown/Unspecified),,Brooch (Unknown/Unspecified),45
56,Container,Bucket,,Bucket,8
230,Clothing,Buckle,,Buckle,2
57,,Burnisher/Smoother,,Burnisher/Smoother,0
58,Clothing,Button,,Button,33
59,,Canister,,Canister,0
61,,Cauldron,,Cauldron,0
62,Clothing,Chainmail,,Chainmail,1
64,Chariot/horse gear,Chariot/Cart,,Chariot/Cart,14
65,Chariot/horse gear,Chariot/Cart Fitting (Unknown/Unspecified/Set),,Chariot/Cart Fitting (Unknown/Unspecified/Set),14
68,Tool,Chisel,,Chisel,2
246,Other,Clasp,,Clasp,1
251,,Clip,,Clip,0
69,Coffin,Coffin,,Coffin,366
70,Other,Coin,,Coin,5
71,Other,Collar,,Collar,2
72,Other,Comb,,Comb,2
96,Flint tool,Core,,Core,8
73,Other,Cosmetic Set,,Cosmetic Set,6
262,Cover,Cover,,Cover,25
264,Other,Cramp,,Cramp,1
75,Clothing,Crown/Diadem,,Crown/Diadem,2
76,,Crucible,,Crucible,0
77,Container,Cup,,Cup,4
78,Tool,Cushion Stone,,Cushion Stone,3
79,Weaponry,Dagger,Armorico-British,Dagger [Armorico-British],1
80,Weaponry,Dagger,Arreton,Dagger [Arreton],1
81,Weaponry,Dagger,Camerton-Snowshill,Dagger [Camerton-Snowshill],13
82,Weaponry,Dagger,Flat Riveted,Dagger [Flat Riveted],25
83,Weaponry,Dagger,Tanged Flat,Dagger [Tanged Flat],1
