GID_date,Site_ID,GID,GID_gg,GID_hr
50008,50006,0,0,0
50011,50008,0,0,0
50014,50010,0,0,0
50017,50012,0,0,0
50020,50013,0,0,0
50022,50014,0,0,0
50029,50018,0,0,0
50030,50019,0,0,0
50043,50023,0,0,0
50047,50024,0,0,0
50052,50025,0,0,0
50062,50026,0,0,0
50064,50027,0,0,0
50065,50028,0,0,0
50066,50029,0,0,0
50069,50030,0,0,0
50086,50038,0,0,0
50087,50039,0,0,0
50094,50041,0,0,0
50099,50044,0,0,0
50100,50045,0,0,0
50105,50047,0,0,0
50107,50048,0,0,0
50109,50049,0,0,0
50111,50050,0,0,0
50114,50052,0,0,0
50118,50053,0,0,0
50122,50054,0,0,0
50126,50058,0,0,0
50128,50059,0,0,0
50131,50060,0,0,0
50132,50061,0,0,0
50135,50062,0,0,0
50139,50065,0,0,0
50142,50067,0,0,0
50143,50068,0,0,0
50144,50069,0,0,0
50147,50071,0,0,0
50148,50072,0,0,0
50151,50073,0,0,0
50152,50074,0,0,0
50154,50075,0,0,0
50156,50076,0,0,0
50157,50077,0,0,0
50158,50078,0,0,0
50159,50079,0,0,0
50162,50080,0,0,0
50167,50084,0,0,0
50170,50086,0,0,0
50171,50087,0,0,0
50178,50088,0,0,0
50188,50090,0,0,0
50189,50091,0,0,0
50190,50092,0,0,0
50194,50094,0,0,0
50196,50095,0,0,0
50198,50096,0,0,0
50199,50097,0,0,0
50201,50098,0,0,0
50202,50099,0,0,0
50206,50100,0,0,0
50209,50102,0,0,0
50212,50103,0,0,0
50217,50104,0,0,0
50218,50105,0,0,0
50226,50108,0,0,0
50231,50109,0,0,0
50237,50111,0,0,0
50241,50112,0,0,0
50247,50114,0,0,0
50248,50115,0,0,0
50250,50116,0,0,0
50254,50118,0,0,0
50255,50119,0,0,0
50256,50120,0,0,0
50262,50124,0,0,0
50263,50125,0,0,0
50276,50126,0,0,0
50285,50129,0,0,0
50291,50131,0,0,0
50292,50132,0,0,0
50306,50135,0,0,0
50309,50136,0,0,0
50311,50137,0,0,0
50316,50139,0,0,0
50318,50140,0,0,0
50320,50141,0,0,0
50325,50144,0,0,0
50329,50145,0,0,0
50335,50147,0,0,0
50342,50149,0,0,0
50348,50153,0,0,0
50354,50156,0,0,0
50366,50161,0,0,0
50373,50162,0,0,0
50379,50163,0,0,0
50390,50165,0,0,0
50406,50166,0,0,0
50423,50167,0,0,0
50428,50168,0,0,0
50439,50170,0,0,0
50447,50171,0,0,0
50452,50172,0,0,0
50457,50173,0,0,0
50462,50174,0,0,0
50466,50175,0,0,0
50471,50176,0,0,0
50492,50178,0,0,0
50493,50179,0,0,0
50498,50180,0,0,0
50500,50181,0,0,0
50530,50185,0,0,0
50546,50188,0,0,0
50547,50189,0,0,0
50558,50191,0,0,0
50569,50192,0,0,0
50572,50193,0,0,0
50573,50194,0,0,0
50584,50196,0,0,0
50602,50199,0,0,0
50606,50200,0,0,0
50610,50201,0,0,0
50623,50202,0,0,0
50629,50203,0,0,0
50656,50208,0,0,0
50663,50209,0,0,0
50677,50213,0,0,0
50682,50214,0,0,0
50687,50215,0,0,0
50693,50216,0,0,0
50695,50217,0,0,0
50701,50219,0,0,0
50704,50220,0,0,0
50707,50221,0,0,0
50713,50222,0,0,0
50719,50224,0,0,0
50721,50225,0,0,0
50722,50226,0,0,0
50727,50228,0,0,0
50735,50230,0,0,0
50742,50231,0,0,0
50745,50233,0,0,0
50775,50235,0,0,0
50783,50238,0,0,0
50074,0,50032,0,0
50116,0,50052,0,0
50121,0,50054,0,0
50129,0,50059,0,0
50229,0,50109,0,0
50240,0,50111,0,0
50246,0,50114,0,0
50315,0,50139,0,0
50328,0,50145,0,0
50403,0,50166,0,0
50426,0,50168,0,0
50564,0,50192,0,0
50600,0,50199,0,0
50686,0,50214,0,0
50689,0,50215,0,0
50703,0,50220,0,0
50725,0,50228,0,0
50772,0,50235,0,0
50018,0,0,0,50003
50021,0,0,0,50004
50028,0,0,0,50005
50031,0,0,0,50006
50040,0,0,0,50008
50044,0,0,0,50009
