Site_context_ID,Site_context_name,HER_site_context_montype,Site_context_summary,Site_context_description
50000,Late Iron Age Settlement,SETTLEMENT,Late Iron Age farmstead excavated between 1966 and 1969 by the Crayford Manor House Archaeological Group. Excavation revealed a circular hut and a complex of many post holes and shallow pits surrounded by a curving gully. Various finds were recovered along with two infant burials.,"TQ 5235 6498 Late Iron Age farmstead excavated between 1966 and 1969 by the Crayford Manor House Archaeological Group. Excavation revealed a circular hut and a  complex of many post holes and shallow pits surrounded by a curving gully.  (1) The enclosure was found to be bounded by a substantial fence. Outside this on the uphill side of the site only, ran the shallow drainage gully. The interior seems to have been divided, each division with a specialised function. Over 340 shallow pits and post holes were recorded, which bear no relationship to each other. It is therefore possible that they represent a number of simple structures frequently rebuilt in the same area. Stratification indicated three possible phases of occupation.  (2) A large quantity of Iron Age B and C pottery was recovered. The discovery of Iron Age B pottery puts back the date of occupation to perhaps c100 BC. The site was indicated by Lt Col Meates at TQ 52416504, which lies upon the southern end of a chalk downland ridge.  He stated that the site, which is still being excavated, has been dated to the 1st C BC -1st C AD, but a full report will be published in due course. The excavation so far reveals a number of postholes and storage pits cut into the chalk. Site surveyed at 1:2500.  Two human infant burials were also found.  (3)See also (4).Duplicate Record TQ 56 NW 46 deleted 16/07/2003."
50001,"Northfleet Roman Villa Site, Ebbsfleet Valley",SETTLEMENT,"Foundations of what is believed to be a villa associated with, landscaping features, two wells, a limekiln, two aisled buildings, a river-wharf and a bathhouse (TQ 67 SW 1001). Late Iron Age and early medieval occupation of the site is inferred. A single late Iron Age/Romano-British cremation was found in 2001. Several of the timbers from the wharf/quay had been reused in the quay including wall studs from buildings.","[TQ 61607408 - sited from plan AO/64/105/1](2) Foundations of a Roman building associated with two wells and a lime kiln, were noted by Spurrell (1) on the left bank of the Ebbsfleet and excavated by the Dartford District Antiquarian Society 1909-11. [See plans AO/64/105/2-3-4] Three Roman phases followed a pre-Roman occupation evidenced by calcined grains and traces of straw below the foundations. Several cwts. of pottery, five identifiable bronze coins dating from the 1st to 4th.C.,others unidentifiable, tesserae (nearly all red brick), etc., were found. A second building, of considerable size, but not completely excavated was found 20 yds. to the south. [See plan AO/64/105/5]. Jessup refers to the site as ""the Northfleet villa site"" but Taylor considers ""the walls uncovered appear from the plan to represent an industrial building, rather than a dwelling house, but they probably belong to more than one building and are of various ages"".  (1 to 4) The site now waste ground and allotment gardens is indicated by a heavy scatter of Ro. tile and brick.  (5) Additional bibliography.  (6 to 7)There was no direct evidence for pre-Roman occupation although late iron age pottery was found in association with Roman pottery.  Similarly there was no direct evidence for post-Roman occupation of the area although sherd of early medieval pottery was found around the villa area.(8-10)Extensive investigation at the site has truncated or destroyed much of the complex so that in many places wall footings rarely survive beyond a base layer of cobbles.  The general layout of the site, however, with some construction phases, can be suggested.  There is evidence of landscaping towards the Ebbsfleet, a plank revetment was found nearby,  and around the complex a number of intercutting ditches and one possible beamslot were found containing a large quantity of Roman building debris and pottery dating to the 1st - 2nd century AD.  A single late iron age/Roman cermation urn was found.  The excavation report does not record any further information on this burial so it is difficult assess whether this is supporting evidence of a pre-villa site or not. (11)The earliest stone-built villa on the site was constructed in the early 2nd century over an earlier Roman site (TQ 67 SW 297).  Associated with the villa were a substantial lime-kiln, either contemporay or pre-dating the villa,  two large aisled buildings, a bath-house (TQ 67 SW 1001), a substantial river-side wharf, arranged around a courtyard.  Occupation continued, at what level is unclear, into the 4th century. (12)In 2002 timbers from the wharf/quay were recovered along with parts of the nearby early medieval water mill (TQ 67 SW 298) to Chatham Historic Dockyard for recording, cleaning and preservation. Several of the timbers had been reused in the quay including wall studs.  This is similar to finds made in London. (13)"
50002,"Belgic occupation material and a possible cremation burial, Studd Hill",SETTLEMENT,"Belgic occupation material and a possible cremation burial, Studd Hill, found in 1955.","Belgic occupation material, including a small fragment of a pedestal urn, platters, and a small cup and vase, together with some calcined bones (? burial) was found in 1955, on the cliff edge at the junction of the top soil and clay on the highest point of Studd Hill, near the junction of Riley Avenue and Daytona Way. The material, at present with Mr. Jenkins, will be returned to Herne Bay Museum. The findspot was indicated by Mr. Hopkins as at TR 14986772.  He found a defaced tin coin, dated to 100-50 B.C. by the BM, at the same spot in the same year.  The coin remains in his collection.    (1)"
50003,"Iron Age/Romano-British Settlement, South Dumpton Gap, Broadstairs",SETTLEMENT,"An Iron Age and Romano-British Settlement at South Cliff parade, Dumpton Bay, Broadstairs. Evidence of this settlement was first revealed in 1907-1909, when enclosure ditches were investigated during the construction of the South Cliff Parade. The finds removed included la Tene III occupation material, a La Tene II cremation, two inhumations and a series of apparently votive burials of skulls arms and leg bones. A number of discoveries have been subsequently made in this area. In the early 1960s finds included two rubbish pits and two sunken floors containing infant burials dating to c.60 AD on the basis of pottery removed from the features. At this time a large quantity of pottery and an early Iron Age inhumation with an iron fibula were also found. The pottery included a few rare sherds of Marnian pottery unique in the country. Six shallow graves containing portions of skeletons, fragments of pottery, and calcined bones were also uncovered during work to extend the parade. Further excavations in 1971-2 revealed two more pits containing inhumations.","[TR 39496639] Iron Age and Romano-British Settlement (NAT) (1) Between 1907-1909, when the South Cliff Parade, Dumpton Bay was constructed and developed, an extensive iron-age settlement was discovered with pottery ranging from Hallstat to Belgic. (21-22)  Inhumations with Samian (100-150 AD) were found nearby, and other inhumations and cremations were found within 100 ft south of Dumpton Gap in 1899-1900. In 1960-1963 J. Coy excavating in the area centred TR 39406640 - 'B', uncovered two sunken floors both of which contained infant burials; pottery from the infilling is dated to c.60 AD.  This excavation is to be continued. In 1960, when 'Chanteclair' centred TR 39326632 was built, workmen discovered 2 rubbish pits. Coy excavated the garden and found a large quantity of pottery and an Early Iron Age inhumation with an iron fibula, at TR 39316632 - 'C'.  The pottery, partly in the possession of the owner of the house and partly with Dr Ann Birchall, formerly of the B.M., indicates an extensive Belgic settlement preceded by a Marnian or closely related culture of C. 250 BC.  A few Marnian sherds bearing incised chevron decoration in haematite colouring are of particular importance as they are at present unique in this country (d). In October 1963 the cutting of a sewer trench revealed at TR 39446641 - 'D', a sunken floor the infilling of which contained an inhumation and some 1st c. AD pottery fragments. (2-7) Broadstairs.  Six shallow graves containing portions of skeletons, fragments of pottery; and calcined bones were uncovered in making a new road to extend the parade near Dumpton Gap.  (8) A fragment of an Iron Age pottery trough from the cliff at Dumpton Gap, found during excavations. (9) TR 395666.  Iron Age settlement site at Dumpton Gap, within enclosure ditches, partially excavated c.1909 revealed la Tene III occupation material, a La Tene II cremation, 2 inhumations and a series of apparently votive burials of skulls arms and leg bones. TR 3967.  Broadstairs.  Excavation of an Iron Age settlement site by T.C. Champion in 1971-2 revealed 2 pits containing inhumations.  (10) TR 39096632.  Cropmarks of two small circular features, possible hut circles associated with known Iron Age and Romano British settlement. (11) At TR 39386650 cropmarks of linear and curvilinear features can be seen.  (12) At TR 39546640 small concentric circular features can be seen, the outer ring of which may be penannular.  Possibly a hut site associated with this settlement.  (13) TR 394664 (centred)  Iron Age, Romano British and Anglo Saxon remains, now built over.  Site no 137.  (14)The 1907-8 work along the route of South Cliff Parade encountered ditches and pits, including two large ditches seemingly enclosing the promontory, at TR 39559 66549 and TR 39487 66292. Finds included a shale bracelet, a number of loomweights, parts of a quern and pottery. (21-22)The finds from the 1907-8 work were assessed in 1995. Material from the Early Iron Age through to c. AD 250 was recorded. (23)In 2005 the Trust for Thanet Archaeology carried out an evaluation and an excavation at 1 Seacroft Road. The earliest features found were a quarry and a number of pits dated to the Late Iron Age. All of the features produced animal bone and pottery of this period along with chared cereal grain. Activity continued on the site into the 1st century AD when another quarry was opened. A ditch, two post holes and some pits also dated to this early Roman phase. (24)"
50004,"Late Bronze Age burials, St. Lawrence College, Ramsgate",SETTLEMENT,"Late Bronze Age burials. The sources suggest they may be part of a late Bronze Age settlement, now largely built over. The burials consisted of two inhumations, one with a bronze bracelet and both with bronze armlets. A Deverel-Rimbury urn (non cinerary) was also found in a pit nearby, containing three Picardy-type bronze pins.","An inhumation burial with a ribbed bracelet and two bronze armlets, was found in a chalk-cut grave at Hollicondane, between Ramsgate and Dumpton, in 1891, (1) and another skeleton with four bronze armlets was reported from the same place in January 1896. (2)  Nearby, in 1929, a Deverel-Rimbury type urn (not cinerary) with three Picardy bronze pins was found when foundations were being dug for the Biological Laboratory at St. Lawrence College, Ramsgate. (3)  All the 1891 and 1929 finds are Late Bronze Age and the area, now largely built over, may have been a L.B.A. settlement.  (1-3) Find of urn and pins sited to TR 3794,6607 but no information was gained during fieldwork as to the exact site of the 1891 burial. The suggestion that these discoveries denote a settlement site is borne out by the general topographical position, i.e. a small spur facing south.  (4) A solid armlet with engraved decoration from an inhumation in Ramsgate is in the British Museum Acc. No. 1916, 10-14, 2.  (5) At Ramsgate, Kent, an inhumation burial in a carefully dug grave in chalk was accompanied by a bronze ribbed wristlet and two penannular brooches decorated with a zoned pattern of traced ellipses. (6) The information can be gleaned from authority (3).  (7)Additional bibliography [8]. Thanet Reach Business Park Development: Archaeological Implications. Desk Based Assessment [9]."
50005,"Bronze Age and Iron Age burials, Fairacre Lodge, North Foreland Avenue",SETTLEMENT,Bronze Age and Iron Age remains were found during excavations at North Foreland Avenue in 1980 by the Thanet Archaeological Unit. Human bones were discovered and two crouched burials in a ring ditch of truncated V-section were subsequently found. A collared urn was also found in the centre of the ring ditch. The site also contained intrusive Iron Age burials and pits and post holes containing Late Bronze Age/Early Iron Age pottery sherds in the fill. The site is thought to be part of an Iron Age settlement at the top of North Foreland Hill.,"TR 399692 (sited to nearest 50m)  Bronze Age and Iron Age remains, excavated in 1980.  Site no 65. (1) TR 399692.  Burial mound and pottery dating to the Bronze Age and Iron Age excavated at North Foreland Avenue in 1980 by the Thanet Archaeological Unit. (2) Human bones were discovered here in 1980 in the footings being cut for a house. This led to the discovery of two crouched burials in a ring ditch of truncated v-section.  A collared urn was also found in the centre of the ring ditch.  The site also contained intrusive Iron Age burials. (3 and 5) Further evaluation trenching at TR 398 693 revealed 2 pits and 2 post holes, some containing Late Bronze Age/Early Iron Age pot sherds in the fill. Appears to confirm Iron Age settlement at top of N. Foreland Hill. (4)The ring ditch was probably c. 24m across. (5)"
50006,"Iron Age `B' occ site, pottery inc haematite ware found; 3 intrusive burials",SETTLEMENT,"Iron Age `B' occ site, pottery inc haematite ware found; 3 intrusive burials.","In 1959 when the foundations for 'Fairbrook' 65, Sea Road, Westage were being dug, 3 inhumations, orientated approximately E-W were found in shallow graves the infilling of which contained a large amount of SE 'B' occupation material including haematite ware. All the sherds found are in the possession of Mr F Jenkins (a) who inspected the site. The site of the graves, under the SW corner of the house at TR 32157018, was pointed out by the gardener.  (1)"
50007,"Mid - Late Iron Age Settlement Site, Church Whitfield",SETTLEMENT,"During evaluation work for the A256 a number of features were recorded to the east of the church at Church Whitfield. A mid- late Iron Age enclosure with a small numer of internal features. A possible ritual deposit, human skull, was found in the ditch of the enclosure and an inhumation burial to the south-east which could have been part of a larger cemetery now lost. The site dates to c.150 - 50 BC.","During evaluation work for the A256 a number of features were recorded to the east of the church at Church Whitfield.  The butt end of a ditch ( TR3126545887), one metre wide, orientated east to west was found containing fragments of early to mid iron age pottery. The shape of the ditch was of sloping sides with a flat base. Nearby was a possible gully with a sloping south-western edge and angled north-eastern edge.  No datable finds were recovered.  These features form part of a settlement which could include other nearby SMR records TR 34 NW 146/147 & 224) (1).Further evaluation work revealed a number of pit, ditch and postholes as negative features. Which extends the iron age settlement further to the south-east. These features found may be connected with the cropmark features of TR 34 NW 146 & 224, but this is unclear.  Flint tempered pottery found in one of the ditches suggests that the settlement may date to the early to mid iron age c.600-300 BC.(2)Additional excavtion work in 1995 uncovered evidence that the iron age features found previously belonged to two separate sites, one dating to the early - mid iron age (TR 34 NW 224) and the mid - late iron age.  The site consists of a rectangular enclosure bounded by a large ditch, with a two pits and three post-holes.  Heavy ploughing would have removed any evidence of associated internal buildings. A number of gullies were found outside the enclosure and may relate to associated features such as fields or animal compounds.  A large quantity of pottery was recovered, nearly two-thirds in the final re-cut of the enclosure ditch, dating to c.150 - 50 BC. It was mainly flint-tempered with a small quantity of grog-tempered ware of ""Belgic"" form. Within the south-west arm of the enclosure fragments of human cranium were found and a skull in the south-eatern arm. This skull, it is suggested, was ritually deposited and was recoverined in association with an animal leg bone, food offering, a flint nodule and a fragment of grog-tempered pottery.  A single inhumation burial was found outside the main enclosure, just to the south-east.  It was aligned ne-sw, parallel with the enclosure ditch.   The grave pit was quite small, ovoid, and although no dating evidence was found, it is believed to be of iron age date."
50008,Neolithic to Early Roman activity at Tutt Hill,HENGE,"Neolithic to Early Roman activity at Tutt Hill, with activity focused on the Neolithic and Late Bronze Age","The Oxford Archaeological Unit was commissioned by Union Railways (South) Ltd (URS) to conduct a field evaluation of land at Tutt Hill, Westwell, Kent.  The work was conducted in two stages: An open area excavation was carried out between 8th and 18th March 1999, following the discovery of significant archaeological remains during a watching brief on geotechnical test pits.  A second stage of evaluation was carried out in the surrounding area between 29th March and 9th April 1999.The watching brief and subsequent investigations revealed a diffuse scatter of prehistoric features, with one significant concentration of features and finds located in the main excavation area.  Twelve of the fourteen evaluation trenches contained no features at all, suggesting either that the group of pottery-rich pits in the main excavation area are the remanant of a more extensive but severely truncated site, or that they represent a verey localised area of occupation.The main excavation area was 40 m long and 20 m wide, with a 2m square extension on the south-western side.  The subsequent evaluation comprised fourteen trenches, each 30 m long and 1.8 m wide.  The only significant archaeological features comprised three pits of late Bronze Age and early Iron Age date, two of which produced substantial pottery groups, and three shallow ditches which are likely to be contemporary with the pits. (1)Subsequent general watching brief over a 1.1km stretch and a targeted watching brief of a 150m x 200m area revealed evidence of Neolithic to Early Roman activity. Two flint scatters show Neolithic - Early Bronze Age activity, with the Mid-Late Neolithic also represented by two pits. Four ring ditches representing ploughed-out round barrows with associated Beaker pottery date to the Late Neolithic-Early Bronze Age. These are heavily truncated, and no evidence of burials were found, though an Early-Middle Bronze Age cremation was located near the ring ditches. There was also a single Early Bronze Age pit.The Mid Bronze Age is represented by 3 sub-rectangular pits and a cremation pit contianing an inverted bucket urn.The Late Bronze Age sees the laying out of a field system, in addition to a few pits.Activity seems to decline after this, and the Mid Iron Age-Early Roman period is represented by only two pits, a cremation. A furnace-like structure at the west of the watching brief area may be Iron Age due to associate pottery finds, though these may be residual and the furnace may be much later in date.There are also a number of undated features, notable pits and a few cremations. Some medieval pottery. (2)Additional bibliogrpahy. (3-8)"
50009,"Late Iron Age/Romano-British settlement or villa site, Harrietsham",ENCLOSURE,"A Late Iron Age enclosed settlement associated with a road and cremation burials. The site continued in use during the Roman period. A small settlement or a possible villa existed in the immediate vicinity. In the late 3rd or early 4th century a group of nine aisled buildings were constructed, possibly barns serving the villa/settlement.","In 1985 Kent Archaeological Rescue Unit apparently carried out an excavation within the grounds of the Rectory. Pits and ditches of Roman date were supposedly found. It is also reported that walls of a building were found, possibly with a hypocaust. Work is also thought to have been carried out by Kent Archaeological Rescue Unit on land to the south on the medical centre and community hall site. (1)In April 1997 Canterbury Archaeological Trust carried out a watching brief began on work for new housing development at the site known as Glebeland at Harrietsham. Immediately archaeology was recovered and evaluation trenching commenced after consultation with the developer. Evidence gathered suggests that occupation of the site began in the Late Iron Age and continued into the Roman period until probably the 4thC. The site then seems to have been abandoned or contracted and a soil horizon accumulated over it. Cut into this soil horizon were the foundations of seven buildings.The settlement was found in the western side of the housing development site. A flint road bedded in chalk with side ditches (TQ 85 SE 137) aligned NE-SW led to and or through the site. To the south of the road a large N-S aligned ditch was discovered with a smaller ditch in front and a row of six post-holes probably formed a fence. This boundary ditch probably formed the beginning of the settlement. No structures were identified within the settlement area although a number of post-holes, other than the six mentioned above, were found, but with no apparent pattern. To the west of the boundary ditch a large feature was excavated which contained insufficient material to indicate that it was a rubbish or storage pit.Eleven, with a possible further six, cremation burials were found within the angle formed by the road and the boundary ditch, indicating that they were contemporary with each other. The concentration of burials in this area may be in part due to the depth of overburden being greater in this area, thus protecting it from plough damage. Of the eleven definite cremations, eight contained a single cremation, one contained two, one contained three ceramic urns and one contained three ceramic urns and a small bronze vessel. Only one of the burials had been cut by a later burial and another cut the road suggesting that it may have been in a state of disrepair at the time. (1)Geophysical survey to test for archaeological features just east of site found in 1997 during the CAT evaluation. Possible features located. (2).Predetermination evaluation on site showed that archaeological features indeed continued across this section of the field. It was not possible to identify what the features were or what age they were, other than the Late Iron Age/Romano-British road which was found where it was predicted to be and was in a good condition. (3)The Late Iron Age occupation of the site began in the latter part of the 1st century BC. A large boundary ditch crossed the site with an enclosure to the west. A flint-metalled road crossed the ditch to enter the enclosure. South of the road a group of nine Aylesford-type cremation burials were found. The vessels and a unique copper alloy vessel found within this group pre-date the Roman conquest. One of the burials cut the crushed chalk base of the road and indicates that this too must be pre-Roman in date. A further three burials were found east of the group and appear to be of late 2nd or early 3rd century date. During the late 1st or early 2nd century the road was realigned. The old road possibly became a yard surface at this time. No buildings were found within the enclosure of this date though domestic rubbish indicates it was probably located nearby. It is thought that this occupation relates to a small settlement or a villa complex. A build-up of silt over the site indicates a contraction or abandonment towards the end of the 2nd century or at the beginning of the 3rd century. Cut into this soil layer were foundations of nine substantial aisled buildings each c.13m wide and more than c.20m long. A coin was found in the foundations of one indicating a date of construction in the late 3rd or early 4th century. No domestic evidence was found within the buildings so they could be barns. (4)"
