File name,Title,Description,"Creator (if more than one individual/organisation, add on a new row)",,,"Copyright holder (if more than one individual/organisation, add on a new row)",,,Period of Creation,,Software used,Software version,Language,Entity relationship diagram file name(s) (this should be enclosed separately),Supporting documentation file name(s) (this should be enclosed separately),,
,,,First Name,Last Name,Organisation,"Copyright holder (if more than one individual/organisation, add on a new row)",Last Name,Organisation,Start Date,End Date,,,,,,,
,,,,,,,,,,,,,,,,,
,Prehistoric Grave Goods project database,"A database of material culture found in formal mortuary contexts during the Neolithic, Bronze Age and Iron Age within our case study regions of Cornwall and the Isles of Scilly, Dorset, Kent, East Yorkshire, Gwynedd and Anglesey, Orkney and the Outer Hebrides",Christopher,Green,University of Oxford,Duncan,Garrow,University of Reading,01/01/2017,12/03/2021,Filemaker Pro,12,English,1_PGGP_db_simple_structure.png,1_PGGP_db_construction_summary.docx,,
,,,,,,,,,,,,,,,2_PGGP_db_input_method_ads.docx,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Table Name,Table Description,Primary Key,Foreign Key,Row Count,,Field Name,"Field Description (inc. units of measurements, description of codes, etc. used within each field).",Field Data Type,Field Length,,,,,,,,
,,,,,,,,,,,,,,,,,
1_PGGP_site_context_ads,"Records basic details about excavated archaeological sites/monuments that provide a context for burial sites recorded in the PGGP db (e.g. the BA cemetery in which a round barrow was located, the IA settlement in which a pit burial was located, etc.",Site_context_ID,,,,Site_context_ID,Unique ID for site context assigned by the PGGP,numeric,n/a,,,,,,,,
,,,,,,Site_context_name,Site name,text,n/a,,,,,,,,
,,,,,,HER_site_context_montype,FISH Monument type assigned by HER (http://www.heritage-standards.org.uk/fish-vocabularies/),text,n/a,,,,,,,,
,,,,,,Site_context_type,FISH Monument type assigned by PGGP (http://www.heritage-standards.org.uk/fish-vocabularies/),text,n/a,,,,,,,,
,,,,,,Site_context_summary,Summary of evidence from this site,text,n/a,,,,,,,,
,,,,,,Site_context_description,More detailed description of evidence from this site (freetext field),text,n/a,,,,,,,,
2_PGGP_site_ads,"Records details (location, name, description, etc.) about sites of prehistoric burials with grave goods",SiteID,Site_context_ID,,,Site_ID,Unique ID for site assigned by the PGGP,numeric,n/a,,,,,,,,
,,,,,,Site_name_main,Site name assigned by PGGP,text,n/a,,,,,,,,
,,,,,,Site_name_other,"Other site name details (e.g. Welsh name, HER-specific details)",text,n/a,,,,,,,,
,,,,,,Case_study_area,PGGP case study area in which the burial site is located,text,n/a,,,,,,,,
,,,,,,Unitary_Authority_County_Council,Current local authority/administrative unit that provided the original data,text,n/a,,,,,,,,
,,,,,,Parish_Community_Borough,Current parish,text,n/a,,,,,,,,
,,,,,,HER_site_montype,FISH Monument type assigned by HER (http://www.heritage-standards.org.uk/fish-vocabularies/),text,n/a,,,,,,,,
,,,,,,Site_type,FISH Monument type assigned by PGGP (http://www.heritage-standards.org.uk/fish-vocabularies/),text,n/a,,,,,,,,
,,,,,,Site_type_simple,"Simplified version of monument type, used for broad analysis (automated field)",text,n/a,,,,,,,,
,,,,,,X_coord,5/6-digit OSGB Easting,numeric,n/a,,,,,,,,
,,,,,,Y_coord,5/6-digit OSGB Northing,numeric,n/a,,,,,,,,
,,,,,,Site_summary,Summary of evidence from this site. Note: information added to the HER record by the PGGP team is tagged <gg_summary>,text,n/a,,,,,,,,
,,,,,,Site_description,More detailed description of evidence from this site (freetext field),text,n/a,,,,,,,,
,,,,,,Site_URL,URL for equivalent site record in source dataset (HER/Canmore),text,n/a,,,,,,,,
,,,,,,Site_context_ID,Unique ID for site context assigned by the PGGP,numeric,n/a,,,,,,,,
,,,,,,Number_graves_all,Total no. graves identified at this site (often not possible to determine),numeric,n/a,,,,,,,,
,,,,,,Number_graves_GG,Total no. graves with grave goods identified at this site,numeric,n/a,,,,,,,,
,,,,,,Number_individuals_all,Total no. individuals buried at this site (often not possible to determine),numeric,n/a,,,,,,,,
,,,,,,Number_individuals_GG,"Total no. individuals with grave goods identified at this site (e.g. one grave may contain multiple bodies, some with grave goods, some without)",numeric,n/a,,,,,,,,
,,,,,,Source_of_data,Original data source for this site record (HER/Canmore),text,n/a,,,,,,,,
,,,,,,Main_ID_type,Main ID type used in original data source (e.g. MonUID),text,n/a,,,,,,,,
,,,,,,Main_ID_value,Main unique ID value for site in original data source,text,n/a,,,,,,,,
,,,,,,Other_ID_type,Secondary ID type used in original data source (e.g. PRN),text,n/a,,,,,,,,
,,,,,,Other_ID_value,Secondary unique ID value for site in original data source,text,n/a,,,,,,,,
,,,,,,Other_equivalent_data_source_EDS,"Name of additional data source that holds an equivalent site record (e.g. British Museum, Welsh NMR)",text,n/a,,,,,,,,
,,,,,,EDS_ID_type,"Name of unique ID type for equivalent site record in additional data source (e.g. Accession no., |NPRN)",text,n/a,,,,,,,,
,,,,,,EDS_ID_value,Value of unique ID for equivalent site record in additional data source,text,n/a,,,,,,,,
,,,,,,EDS_URL,URL for equivalent site record in an additional data source,text,n/a,,,,,,,,
