Site_ID,Site_name_main,Site_name_other,Case_study_area,Unitary_Authority_County_Council,Parish_Community_Borough,HER_site_montype,Site_type,Site_type_simple,X_coord,Y_coord,Site_summary,len,Site_description,Site_URL,Site_context_ID,Number_graves_all,Number_graves_GG,Number_individuals_all,Number_individuals_GG,Source_of_data,Main_ID_type,Main_ID_value,Other_ID_type,Other_ID_value,Other_equivalent_data_source_EDS,EDS_ID_type,EDS_ID_value,new bm url,EDS_URL,Whimster_1981_site_number,Bristow_2001_site_number,AEMA_2016_site_number,Number_events
10000,Cargurra,"CARGURRA - Bronze Age findspot, Bronze Age barrow",Cornwall,CORNWALL,St Juliot,BARROW,BARROW,Round Barrow,213300,91700,"<gg summary>: Workmen cutting or clearing a drain in 1860 in a marsh at Cargurra found a lunula at a depth of 1.5m. It was said to have been found with a human skeleton and in Christie's catalogue to have been 'found in a barrow'. However, as this was an accidental encounter by workmen, it is uncertain whether the lunulae was a later placed deposit into the fabric of the barrow, and whether this is a grave good or a later deposit that was not directly associated with the interment in the barrow.It was also noted that the lunula was found in marshy ground and may have placed in a bog as a votive deposit, removed from burial. Several authors refute the presence of a barrow here and reject Christie's observation Note that lunulae in Britain and Ireland are rarely found as grave goods (unlike in Iberia where they are sometimes found in EBA cist burials)",865,"Workmen cutting or clearing a drain in 1860 in a marsh at Cargurra found a lunula at a depth of 1.5m (b1). It was said to have been found with a human skeleton and in Christie's catalogue to have been 'found in a barrow' (b3). The lunula has fine incised zig-zag ornament around the edge, and zig-zags and triangles at the terminals. There is a trefoil button at each of the rounded ends. 'The precise location for this find is unknown but the landowner states that the traditional site is the field at SX 133 917. This was known as 'Marsh' in the Tithe Award, c1840 (b5). Almost certainly there was never a barrow here.--------------------------------Site history:1: 1976. OS--------------------------------",http://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=MCO342&resourceID=1020,,,1,,1,HER_Cornwall,MonUID,MCO342,PrefRef,639,,,,#N/A,,,,5328,1
10004,Angrouse,ANGROUSE - Bronze Age barrow,Cornwall,CORNWALL,Mullion,BARROW,Cairn,Cairn,166500,19100,"<gg summary>: A cairn removed during farm improvements in the C19 contained calcined bones, fragments of a ribbon-handled urn and a bronze dagger, and a strike-a-light ",168,"A cairn 35ft (10.6m) in diameter and 3 or 4ft (0.9m-1.2m) in height, on the cliff edge at Angrouse, was removed during farm improvements in the C19. A pit, 4ft by 2ft by 2ft (1.2m by 0.6m by 0.6m), covered by two layers of flat stones was revealed. It contained many calcined bones, fragments of a Middle Bronze Age ribbon-handled urn, a bronze dagger 6.75in (17cm) long with three rivets, and a globular piece of iron pyrites. The urn and dagger were purchased by Truro Museum from the Borlase sale (b2-b4). The cairn is listed by the checklist, and sited at SW 6683 1929 (b4). However, in 1971, the OS surveyor visited and found that the checklist siting is almost certainly in error because it does not fall on the cliff edge, as stated by Borlase (b2), and it is not 'three or four hundred yards' from another barrow on the cliff (10540). The true site of the cairn was not established (h1).--------------------------------Site history:1: 1973. MJF/OS--------------------------------",http://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=MCO2042&resourceID=1020,,,1,1,1,HER_Cornwall,MonUID,MCO2042,PrefRef,10542,,,,#N/A,,,,5239,1
10005,Angrouse Cliff,ANGROUSE CLIFF - Bronze Age barrow,Cornwall,CORNWALL,Mullion,BARROW,BARROW,Round Barrow,166400,19440,"The site of a barrow excavated by WC Borlase c1870, in which was found a ribbon-handled urn.",92,"A barrow on the cliff at Angrouse was explored by WC Borlase in about 1870 (h1). It was 30ft (9.0m) in diameter, 3ft to 4ft (0.9m-1.2m) high, and completely composed of earth. In a shallow pit in the centre was an upright ribbon-handled urn, with a flat stone on its mouth, filled with bones and ashes (b1). In 1973, the OS surveyor visited the probable site of the barrow (h2). He found a rough amorphous mound 10.4m across and up to 0.6m high, but it was impossible to tell whether this is the excavated remains of a barrow or a spoil heap from the dismantled radio station. Possibly the barrow was completely levelled by Borlase's excavation (h2).--------------------------------Site history:1: 1973. MJF/OS--------------------------------",http://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=MCO2043&resourceID=1020,,,1,1,1,HER_Cornwall,MonUID,MCO2043,PrefRef,10540,,,,#N/A,,,,,1
10007,Barrowfields #1,BARROWFIELDS - Bronze Age barrow,Cornwall,CORNWALL,St Columb Minor,BARROW,BARROW,Round Barrow,182000,62200,"One of a large barrow group, most of which is now destroyed.<gg summary>: Barrowfields 1 with inverted urned cremation ",121,"Part of a large barrow group most of which is now destroyed (4666) this barrow was excavated by Canon Rogers in 1840 (b1, b2). He describes it as being on the cliff, a mile from Newquay and the largest in the area (3.7m high). It had a surrounding ditch, 1.5m wide by 1.5m deep, cut partly into the slate rock. Much of the mound had already been taken away for manure and urns had been found but not preserved. Rogers cut two trenches in to the mound; one 1.2m wide at its base and the second through the centre, which showed soft earth covering a 1.5m deep mounds of burnt stones which lay 1.8m below the mound summit. No internment was found beneath the stones, but an urn containing cremated bones was discovered in the mound. It rested mouth downwards on a flat stone as a middle Bronze Age Type E food vessel with everted rim, having coarse and badly fired dark fabric. It is now at Truro Museum. This excavated barrow may be the same site as the extant remains described in 4666.04 and / or the supposedly destroyed barrow described in 4666.09. A small mound is visible on vertical aerial photographs (p1) at this location, immediately to the south of barrow 4666.04.",http://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=MCO2068&resourceID=1020,10016,,1,1,1,HER_Cornwall,MonUID,MCO2068,PrefRef,4666.01,,,,#N/A,,,,,1
10009,Barrowfields #2,BARROWFIELDS - Bronze Age barrow,Cornwall,CORNWALL,St Columb Minor,BARROW,BARROW,Round Barrow,182000,62200,"One of a large barrow group, most of which is now destroyed.<gg summary>: This is Barrowfields Barrow 2. Cremation in inverted Food Vessel ",141,"Part of a large barrow group most of which is now destroyed (4666). Borlase notes that fragments of another urn of similar type to that from Rogers 1840 excavation (4666.01) were found in the vicinity and are also at Truro Museum (b1). This urn find could represent a third barrow excavation during the C19, and it may have come from one of the surviving barrows (4666.03 or 4666.04).",http://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=MCO2073&resourceID=1020,10016,,1,1,1,HER_Cornwall,MonUID,MCO2073,PrefRef,4666.06,,,,#N/A,,,,,1
10010,Barrowfields #3,BARROWFIELDS - Bronze Age barrow,Cornwall,CORNWALL,St Columb Minor,BARROW,BARROW,Round Barrow,182100,62200,"One of a large barrow group, most of which is now destroyed.<gg summary>: This is Barrowfields Barrow 3. mound of burnt stones and cinerary urns containing cremated bones. Poor detail as the urns were found when the barrow was destroyed for manure in 1820 and five cinerary urns were found. Five cinerary urns were discovered near the top, each covered by a flat stone. A cist containing burnt bones was found at the bottom of the barrow, but had no grave goods Flint arrowheads were found around the bones but may be from mound rather that actual grave goods ",565,"Part of a large barrow group most of which is now destroyed (4666). A destroyed barrow is described in the West Briton (b1, b2). It was destroyed for manure in 1820, when five cinerary urns were discovered near the top, each covered by a flat stone. A cist containing burnt bones was found at the bottom of the barrow. One of several flint arrowheads from the mound was presented to Truro Museum. Though this mound is described as being destroyed in 1820, it may be that excavated by Canon Rogers in 1840 (4666.01), as this barrow was partially removed for manure before he dug into it (JR).",http://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=MCO2075&resourceID=1020,10016,,5,5,5,HER_Cornwall,MonUID,MCO2075,PrefRef,4666.09,,,,#N/A,,,,5243,1
10011,Barrowfields #4,BARROWFIELDS - Bronze Age barrow,Cornwall,CORNWALL,St Columb Minor,BARROW,BARROW,Round Barrow,182100,62200,"One of a large barrow group, most of which is now destroyed.<gg summary>: Barrowfields 4, very close to the others. Cist found near top of barrow with capstone containing an urn (Trevisker) resting on a flat stone and covered by another and containing burnt bones. Larger cist at base of barrow with blue slate stone capping. Contained inhumation but no grave goods ",369,"Part of a large barrow group most of which is now destroyed (4666). A destroyed barrow described in the West Briton (b1, b2). It was destroyed for hedging stone in 1821 and a cinerary urn was discovered near the top restng on a flat stone and covered by another. It was enclosed by two flat stones ""placed so as to form a covering similar to the roof of a house"". There was a central stone lined grave at the bottom of the barrrow, containing an inhumation, covered by a large flat stone.",http://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=MCO2076&resourceID=1020,10016,,1,2,1,HER_Cornwall,MonUID,MCO2076,PrefRef,4666.1,,,,#N/A,,,,,1
10012,Barrowfields #5,BARROWFIELDS - Bronze Age barrow,Cornwall,CORNWALL,St Columb Minor,BARROW,BARROW,Round Barrow,182100,62200,"One of a large barrow group, most of which is now destroyed.<gg summary>: Note several flint arrowheads were found in the mound ; it is possible that some of these (?barbed and tanged) were associated directly with the urned cremations but this cannot be proven (around the urns and in the cave were found a quantity of arrow points). This newspaper cuttiing (5th February 1819) describes this: ""A few days since, as the workmen of Mr. Cardell of Tretherras in Lower St. Columb, were removing a mound or barrow, in one of his fields, they discovered at about nine feet from the surface, four urns and a stone coffin, all of which contained human bones, which had been exposed to the fire. Owing to the carelessness of the workmen, three of the urns were broken, the fourth was preserved, nearly perfect, by the attention of Mr. Martyn, of Lower Saint Columb, and is now in the possession of Mr. H. Willyams, one of the Vice Presidents of the Cornwall Philosophical and Literary Institution. It has the appearance of being of great antiquity. A number of flints, such as were anciently used for pointing missiles etc. were also found near the urns (Douch 1962, 93)Only the four urned cremation burials are recorded here",1224,"Part of a large barrow group most of which is now destroyed (4666). A destroyed barrow (the exact site of which is unknown) described in the West Briton (b1-b3). It was destroyed in 1819, when four urns and a cist were found, 2.7m from the surface, all containing cremated bones. Three urns were broken, but the fourth is preserved and is in possession of Mr H Williams. A number of arrow heads were also found.",http://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=MCO2077&resourceID=1020,10016,,4,5,4,HER_Cornwall,MonUID,MCO2077,PrefRef,4666.08,,,,#N/A,,,,,1
10013,Bear's Down #1,BEARS DOWN - Bronze Age barrow,Cornwall,CORNWALL,St Ervan,BARROW,BARROW,Round Barrow,189911,67823,One of a line of barrows on Bears Down.<gg summary>: also known as Denzell Down. Digging the barrow produced a small handled cup and three cremations. The handled cup is a ceramic facsimile of the precious cups of amber or gold Two cremations without gg and both unurned ,273,"The second northernmost of the line of barrows on Bears Down. It is a bowl barrow 3.0m high and 22m across. It is steep sided and has a large deep pit in the middle, dug by the army in 1945 (h4). Scheduled and under grass. According to the parish checklist, this is the barrow excavated by WC Borlase in 1871, which produced a small handled cup and three cremations (b3). The barrow is said to have had the interment placed centrally and to have contained ""strata of different coloured soils"" (b1, b2, b7). A miniature cup is fully described and illustrated by various authors (b8-b11). The monument was included in the Schedule on 10/2/1958 and the scheduling was revised on 11/8/2003.--------------------------------Site history:1: 1956. ADS / DOE2: 1959. UNKNOWN / DOE3: 1964. GHP / OS4: 1979. PAS / DOE5: 1981. PAS / DOE--------------------------------",http://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=MCO2092&resourceID=1020,,,1,3,1,HER_Cornwall,MonUID,MCO2092,PrefRef,21954.2,,,,#N/A,,,,5244,1
10014,Bear's Down #2,BEARS DOWN - Bronze Age barrow,Cornwall,CORNWALL,St Mawgan in Pydar,BARROW,BARROW,Round Barrow,189943,67263,"An outlier to a line of barrows on Bears Down.<gg summary>: Bears Down or Denzell Down barrow 2. Collared Urn cremation with bronze knife Also known as Mawgan in Pyder.Note although this urn is described as massive (Borlase suggests 40-60cm tall), it is recorded by Longworth as quite small. Only 16.5cm tall and 31cm mouth diameter",336,"This barrow, first recorded by WC Borlase as ""Densil barrow, a notable tumulus"", is the western outlier to the line of barrows on Bears Down. In 1871, while ploughing around the outside, ""of the barrow nearest Denzell farm"", an urn between 60cm and 90cm high was found, and is illustrated by Borlase. The pottery was very heavy, up to an inch thick and very well fired, decorated with impressed cord. Within the urn was found burnt bones and a bronze knife (b6). The current location of the finds is unknown. The barrow remains as a mound 2.5m high and 18m across with a large crater in the middle. It is Scheduled and lies within moorland (h4). The monument was included in the Schedule on 8/1/1959 and the scheduling was revised on 11/8/2003.--------------------------------Site history:1: 1956. ADS / DOE2: 1959. UNKNOWN / DOE3: 1964. GHP / OS4: 1979. PAS / DOE5: 1981. PAS / DOE--------------------------------",http://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=MCO2094&resourceID=1020,10017,,1,1,1,HER_Cornwall,MonUID,MCO2094,PrefRef,21954.4,,,,#N/A,,,,5245,1
