Site_ID,GID,Grave_hierarchy,Formality_factor,HER_grave_montype,Grave_type,Grave_orientation,Grave_description,Number_object_records,Number_hr_records,Giles_2012_catalogue_number,Gg_summary,Hr_summary
50006,50006,Primary,1,,Pit,Unknown,Flat grave with Inverted Collared Urn cremation burial. A flat grave comprising a Middle (sic Early) Bonze Age collared urn with undecorated neck of the south eastern tradition found inverted over cremation of a male adult c. 25-35. ,2,1,,"Pot [Collared Urn], Bag",Cremation
50008,50008,Unknown,1,,Unknown,Unknown,One of only two pots from the Cotton Lane Pit cemetery that are known to have contained cremated bone. No details of the grave itself survive.,2,1,,"Pot [Belgic-Related Tradition (Other fineware vessel)], Animal Bone (Other)",Cremation
50010,50010,,1,,Unknown,Unknown,No contextual details: Iron Age pot and human remains of some sort retrieved by a mechanical digger during quarrying. ,1,1,,Pot (Unknown/Unspecified),Unknown
50012,50012,,,,Chamber,E-W,"Very disturbed in the medieval period. The chamber, covered by two capstones, was about 12ft. x 8ft. x 7ft. high.  It contained the cremated fragments (some 4,800 were collected) of at least eleven adults and one infant. 2 uncremated molars also noted Impossible to link human remains with grave goods due to extensive disturbance. At least 16 smashed pots ",4,1,,"Pot [Carinated Bowl], Arrowhead [Barbed and Tanged], Pot [Carinated Bowl], Pendant",Cremation
50013,50013,Unknown,1,,Unknown,Unknown,No contextual information: 'Celtic' vessel containing calcined human bones retrieved during quarrying,1,1,,Pot [Belgic-Related Tradition (Unknown/Unspecified)],Cremation
50014,50014,,1,,Unknown,Unknown,"No contextual information: retrieved during quarrying. ""nothing is known of the cist or pit in which it must have been contained"" (Warhurst 1953)<Whimster 1981, 479>: Plaxtol, Godden's Quarry. Cremation burial discovered during quarrying in 1953 and attributed elsewhere to the adjoining parish of Borough Green (Warhurst, 1953; Stead, 1976). Associated objects comprised a burnished bead-rim bowl; two 'Aylesford' brooches; decorated flat bronze bangle; three plain bronze bangles.Warhurst, 1953, 157-60 and Figs 4-5Stead, 1976, 406, 413 and Fig. 3, No. 2",7,1,,"Pot (Unknown/Unspecified), Brooch (Specified type), Bracelet/Bangle (Unknown/Unspecified), Brooch (Specified type), Bracelet/Bangle (Unknown/Unspecified), Bracelet/Bangle (Unknown/Unspecified), Bracelet/Bangle (Unknown/Unspecified)",Cremation
50018,50018,Secondary,,,Ditch/gully,Unknown,Secondary burial In outer ditch of barrow. Burial B,2,1,,"Flake, Assemblage",Inhumation
50019,50019,Primary,1,,Grave,Unknown,In slightly off-centre burial in bowl barrow. Grave 1.6m x 1m x 0.3m deep with scooped base.,2,1,,"Assemblage, Cover",Inhumation
50023,50023,,1,,Unknown,Unknown,"No contextual details: assemblage of early 1st century AD pottery and a brooch, including a cremation in a globular jar, retrieved while digging a trench through a concrete floor at Haynes Gararge, Ashford Road, Maidstone.",3,1,,"Brooch (Unknown/Unspecified), Pot [Belgic-Related Tradition (Pedestal Urn)], Pot [Belgic-Related Tradition (Other specified type)]",Cremation
50024,50024,Unknown,1,,Unknown,Unknown,"<Bristow 2001, Site 1278>: A single cremation burial was placed with a Colchester brooch in a short cordoned jar, accompanied by a platter with an imitation potter's stamp. No further contextual details.",3,1,,"Pot [Belgic-Related Tradition (Other fineware vessel)], Brooch (Specified type), Pot [Gallo-Belgic Ware (Specified type)]",Cremation
