GID,GID_hr,HER_hr_montype,HR_type,HR_description,HR_age,HR_sex,HR_condition,HR_completeness,HR_posture,HR_orientation,HR_rite
50013,50003,HUMAN REMAINS,Cremation,Calcined human bones within 'Celtic' vessel,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
50014,50004,CREMATION,Cremation,"Cremation burial retrieved during quarrying.<Warhurst 1953, 159>: 'Fragments of cremated bone' and 'specks of charcoal'. No further details available.",Unknown,Unknown,Unknown,Fragment(s),Unknown,Unknown,Aylesford Swarling
50018,50005,HUMAN REMAINS,Inhumation,Burial B. In outer ditch of barrow; flexed with arms across chest and legs gathered up; flint nodules over pelvis. Described as a 19 year old female- single flint flake wit hbody. The pelvis was covered by a small platform or pile of flint nodules and the burial had apparently been marked by a post. Presence of outer ditch fill over burial pit indicates that the body was buried befire ditch silted up ,Adult 19-39,Female,Articulated,Complete,Flexed (facing left),NW-SE,Unknown
50019,50006,CONTRACTED INHUMATION,Inhumation,A tightly crouched interment lying on the right side in a grave 1.6m x 1m x 0.3m deep with scooped base. Covered with flint layer with animal bones. Possibly sub-adult female,Subadult 14-18,Female,Articulated,Complete,Crouched (facing right),Unknown,Unknown
50023,50008,CREMATION,Cremation,No further information available.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Aylesford Swarling
50024,50009,CREMATION,Cremation,Cremation burial. No further details available.,Unknown,Unknown,Unknown,,Unknown,Unknown,Aylesford Swarling
50039,50016,CREMATION,Cremation,"Cremated remains of a (probably) female adult - dense and efficiently burnt (Cruse and Harrison 1983, 85).Total weight: 1474gFragment size: Small (37% <15mm)Skeletal elements present: Skull, vertebrae, ribs, pelvis, longbones, hands/feet",Adult 19-39,Female,Burial (Cremation): Ordered deposit,Almost complete,Unknown,Unknown,Unknown
72387,50017,INHUMATION,Inhumation,"Skeleton of an apparently healthy 19 year old boy, c. 174 cm tall. The body was in a contracted position, with its head to the north, lying on its right side facing west. The hands were placed on the knees, but the pit was clearly too small for the occupant , whose head was jammed vertically against the side of the pit (Cruse and Harrison 1983, 84).",Subadult 14-18,Male,Articulated,Complete,Crouched (facing right),N-S,Unknown
50041,50018,CROUCHED INHUMATION,Inhumation,Adult crouched inhumation in cist under turf barrow - rather crushed. Wearing necklace around neck and possibly female,Adult 19-39,Female,Articulated,Almost complete,Crouched (unspecified),Unknown,Unknown
50047,50019,CREMATION,Cremation,"<Brinson 1943, 44>: Very fragmentary calcined bones. No analysis was undertaken on the bone - no further information is known.",Unknown,Unknown,Unknown,Fragment(s),Unknown,Unknown,Aylesford Swarling
