GID,GID_gg,HER_finds_ID,Object_category,HER_object_montype,HER_object_findtype,Object_type_code,Object_type,Object_type_specific,Object_description,Metalwork_phase,Object_completeness,Object_condition,Object_orientation,Object_body_relationship,Object_placement_broad,Object_placement_specific,Decorated_object,Old_object,Materials_summary,Related_GID_hr,Current_museum_location,Museum_accession_number,PAS_ID,PAS_URL,Related_Event_ID
10000,10000,,Jewellery,FINDSPOT,,117,Lunula,,"The lunula has fine incised zig-zag ornament around the edge, and zig-zags and triangles at the terminals. There is a trefoil button at each of the rounded ends. Reputedly found with a skeleton but this is an ancient casual encounter, It may be that the lunula was a later deposition ",N/a,Complete,Unknown,Unknown,Unknown,Unknown,,Y,,Gold,73245,Unknown,,,,1219
10038,10003,FCO7825,Other,,PLANT REMAINS,100,Food Residue,,Food residue with cremated remains ,N/a,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Organic  (Uncertain/Unspecified),"73246, 73247",Unknown,,,,373
10049,10004,,Pot,FINDSPOT,,167,Pot,Trevisker,Trevisker urn ,N/a,Unknown,Unknown,Unknown,Direct,Container of body,,,,Pottery,73782,Royal Cornwall Museum,,,,1258
10114,10005,,Pot,FINDSPOT,,170,Pot,Urn (Unknown/Unspecified),Probably a Trevisker urn but not clarified ,N/a,Complete,Unknown,Unknown,Direct,Container of body,,,,Pottery,73776,Unknown,,,,1296
10143,10009,FCO3156,Tool,,DAGGER,114,Knife,,"Mountain Barrows, Pelynt, Pelynt 2 (Jones and Quinnell 2013, following Couch 1845): The flint artefact is a finely made plano-convex knife with a blade measuring 8.7mm long by 36mm wide at the butt end and 0.90mm at the tip, which is slightly damaged.",N/a,Unknown,Unknown,Unknown,Indirect,On cist/capstone,,,,Chert / Flint [Flint],74041,Royal Cornwall Museum,1701.94.1,,,1402
74279,10010,FCO4062,Axe,,MACE,118,Macehead,,"Moutain Barrows, Pelynt, cremation burial with greenstone macehead described by Borlase (1872, 192) following Couch (1845): 'the only work of art that was found, was a hammer formed of stone, pronounced by competent mineralogists to be greenstone, a kind not found in a natural condition within a considerable distance.""",N/a,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Greenstone,74045,Royal Cornwall Museum,,,,1402
10156,10019,FCO2350,Pot,,URN,167,Pot,Trevisker,"plain Trevisker Series urn with form 2B Food Urn wide-spaced girth ridges and two slightly up-turned tongue lugs. Survival 100%; rim diam. 190 mm; base diam. 110 mm; height 244 mm; colour light yellowish—brownIt has two lugs ; gabbroic inclusions Inverted in pit Smith et al 1996: Fig, 16.P1Dates 1950-1530 cal BC",N/a,Complete,Unknown,Inverted,Direct,Container of body,,,,Pottery,73278,Unknown,,,,389
10171,10022,FCO2309,Jewellery,,PENDANT,129,Pendant,,"unburnt wedge or axe-shaped sheet bronze tube-rolled pendant (23% Sn!); wrapped in hemp textileVery unusual object. Sheet of bronze rolled into a tube the top for threading or attachment (Fig. 3). Its lower edge is convex, the sides concavely curved into the narrower top. A small area has broken away from the bottom right-hand corner, a crack and dent along the bottom of the tag, deforming the bottom edge inwards and a break on the top of the pendant where the top edge is rolled over. Both areas of damage happened in antiquity and the pendant was bent before it was buried. The pendant measures: length 34 mm; width at top 8 mm; width at bottom 19 mm; diameter of the loop 4 mm; thickness of the metal sheet 0.8 mm. It weights 2.65 g. Investigation by microscope, scanning electron microscope (SEM), and infra red spectroscopy was carried out by Laura Ratcliffe. This patina layer holds polish marks and scratches which occurred during the use of the pendant and resulted from deliberate attempts to keep the surface shiny. There is a crust of black overlying the patina - it looks organicPlant fibre threads were preserved in contact with a copper tin alloy pendant and interpreted as part of a bag used to hold cremated bones, dated 2040-1880 cal.BC (Jones et al. 2011, 94). ",N/a,Complete,Worn,Unknown,Direct,Mixed with body parts,In pot with cremations but unburnt ,,,"Bronze/Cu Alloy [Bronze], Organic  (Uncertain/Unspecified)",multiple (cremation),Unknown,,,,393
10171,10023,FCO2306,Pot,,URN,167,Pot,Trevisker,"Quinnell 2011: 95 <The vessel belongs to the Trevisker tradition. About 40% of it appears to have been present. The weight of the surviving sherds is 2534 g. It had been approximately 330 mm high with a rim diameter of c. 220 mm (Fig. 5). Few rim sherds are present and few from the upper part of the decorated zone below the rim. The out-turned rim is very much worn on its outer edge; some of this wear could have been caused by contact with the covering slate but that on the outside of the rim suggests wear during use. The decoration was produced by incisions on a well burnished surface: these incisions form lines of c. 12 close-spaced chevrons. Insufficient of the vessel survives from immediately below the zone of decoration for the presence of small lugs or dimples, sometimes found in this position, to be ascertained. A residue of black carbonaceous matter coats the lower 120 mm of the interior. The edges of surviving sherds are not fresh. However there had obviously been considerable surface water penetration and this apparent abrasion is probably due to factors of bioturbation. The vessel was fired in oxidising conditions; the matrix is yellowish red (5YR 5/6) but the exterior patchily reduced, ranging from brown (10 YR 3/2) to dark grayish brown (10 YR 3/2). Roger Taylor examined both sherds and a thin section and identified the fabric as gabbroic from the Lizard in south Cornwall. Basaltic rock fragments had been added to the gabbroic clay and these probably derived from pillow lavas which outcrop on Mullion Island and on the northern margin of the Lizard Complex. The vessel is likely, therefore, to have been made somewhere in this area of the Lizard. The fabric is generally permeated by calcium carbonate, presumably as a result of the environment in which it was deposited.  The state of the vessel when deposited in the pit is uncertain as much had disappeared in cliff falls. It must have been complete around most of its circumference when buried as an upright container ",N/a,Fragment(s),Worn,Upright,Direct,Container of body,,,,Pottery,"73553, 73554, 73555, 73556, 73557",Unknown,,,,393
10222,10027,,Pot,FINDSPOT,,167,Pot,Trevisker,"<HER site description, Fowey>: 'The urn is bucket shaped with an everted rim and angular bevel, height 8ins (0.203m), diameter 6ins (0.152m) base 2 6/10 ins (0.06m), no handles. It is of lightly fired but hard yellow fabric, containing large grit with some whole pebbles. Decoration consists of roughly made triangular stabs in two rows with incised chevrons below. Borlase (1872) provides an illustration of the urn.",N/a,Complete,Damaged,Inverted,Direct,Container of body,,Y,,Pottery,72997,Royal Cornwall Museum,,,,1168
