GID_gg,Material_category,HER_material_type,Material_type_code,Material_type,Material_type_specific
50012,Bronze,ALLOY,9,Bronze/Cu Alloy,Bronze
50019,Pottery,POTTERY,10,Pottery,
50020,Bronze,ALLOY,9,Bronze/Cu Alloy,Bronze
50022,Pottery,POTTERY,10,Pottery,
50024,Pottery,POTTERY,10,Pottery,
50025,Pottery,POTTERY,10,Pottery,
50030,Pottery,POTTERY,10,Pottery,
50040,Pottery,POTTERY,10,Pottery,
50057,Flint,FLINT,17,Chert / Flint,Flint
50062,Pottery,POTTERY,10,Pottery,
50065,Pottery,BRONZE,10,Pottery,
50072,Pottery,POTTERY,10,Pottery,
50088,Bronze,BRONZE,9,Bronze/Cu Alloy,Bronze
50089,Pottery,POTTERY,10,Pottery,
50103,Amber/jet/shale,AMBER,3,Amber,
50104,Pottery,POTTERY,10,Pottery,
50129,Pottery,POTTERY,10,Pottery,
50135,Bronze,COPPER ALLOY,14,Bronze/Cu Alloy,Copper Alloy
50136,Bronze,COPPER ALLOY,14,Bronze/Cu Alloy,Copper Alloy
50137,Bronze,COPPER ALLOY,14,Bronze/Cu Alloy,Copper Alloy
50157,Pottery,POTTERY,10,Pottery,
50159,Pottery,POTTERY,10,Pottery,
50186,Bronze,COPPER ALLOY,14,Bronze/Cu Alloy,Copper Alloy
50187,Iron,IRON,24,Iron,
50188,Pottery,POTTERY,10,Pottery,
50191,Flint,FLINT,17,Chert / Flint,Flint
50192,Bronze,BRONZE,9,Bronze/Cu Alloy,Bronze
50208,Amber/jet/shale,SHALE,34,Jet/Lignite/Shale/Coal,Shale
50213,Iron,IRON,24,Iron,
50213,Wood,WOOD,41,Wood (Uncertain/Unspecified),
50214,Iron,IRON,24,Iron,
50216,Pottery,CLAY,10,Pottery,
50217,Pottery,CLAY,10,Pottery,
50228,Other,FAIENCE,44,Faience,
50228,Amber/jet/shale,JET,26,Jet/Lignite/Shale/Coal,Jet
50236,Pottery,POTTERY,10,Pottery,
50249,Pottery,POTTERY,10,Pottery,
50251,Pottery,POTTERY,10,Pottery,
50252,Pottery,POTTERY,10,Pottery,
50265,Pottery,POTTERY,10,Pottery,
50295,Flint,FLINT,17,Chert / Flint,Flint
50296,Pottery,POTTERY,10,Pottery,
50297,Flint,FLINT,17,Chert / Flint,Flint
50298,Pottery,POTTERY,10,Pottery,
50302,Pottery,POTTERY,10,Pottery,
50310,Amber/jet/shale,AMBER,3,Amber,
50311,Bronze,COPPER ALLOY,14,Bronze/Cu Alloy,Copper Alloy
50313,Pottery,POTTERY,10,Pottery,
50332,Pottery,CERAMIC,10,Pottery,
40002,Pottery,POTTERY,10,Pottery,
40003,Pottery,POTTERY,10,Pottery,
40015,Bronze,BRONZE / IRON,14,Bronze/Cu Alloy,Copper Alloy
40023,Bone,BONE,5,Bone/Antler/Horn/Ivory/Tooth (Animal),Bone
40030,Bone,BONE,5,Bone/Antler/Horn/Ivory/Tooth (Animal),Bone
40042,Bone,BONE,5,Bone/Antler/Horn/Ivory/Tooth (Animal),Bone
