Site_ID,PGGP_event_ID,HER_event_ID,HER_event_type,Event_type,Event_name,Event_description,Event_summary,Event_start,Event_end
50006,1,EKE4501,Excavation,Full Excavation (1950-),46 GREENHILL ROAD,*TO GO TO MNEMG? (MR & MRS PITCAIRN-KNOWLES),,1976-01-01T00:00:00,1977-12-31T00:00:00
50006,2,EKE4502,Excavation,Full Excavation (1950-),"Cot Nab Farm #M104, rescue excavation",,,1986-01-01T00:00:00,1986-12-31T00:00:00
50006,3,EKE4503,Excavation,Full Excavation (1950-),46 GREENHILL ROAD,"*SITE OWNER:MR & MRS PITCAIRN-KNOWLESA middle Bronze Age urn complete with uncontaminated cremation, was found during mechanical levelling for a tennis court in the garden of no 46 Greehill Road. Excavation of the find spot by the Otford and District Historical Society's Archaeological Group revealed a cylindrical hole some 2 feet in diameter with a flat bottom on which the inverted vessel had rested. The hole had apparently been backfilled with soil. Three small sherds of similar reddish pottery, black in fracture were revealed nearby.",,1970-01-01T00:00:00,1970-12-31T00:00:00
50018,4,EKE4392,Excavation,Full Excavation (1950-),"PRING'S QUARRY,UPPER HALLING",,,1985-01-01T00:00:00,1985-12-31T00:00:00
50019,5,EKE3952,,Antiquarian Excavation (pre-1950),IFIELD PLACE FARM,"*G.PAYNE'S NOTEBOOK II,219.",,01/01/1899,31/12/1899
50026,6,EKE3950,Excavation,Antiquarian Excavation (pre-1950),BELGIC CEMETERY,Finds recovered by workmen during quarrying in the late 19th century together with a more formal antiquarian excavation by A. Evans in 1886.,,01/01/1886,31/12/1890
50039,7,EKE4120,Excavation,Full Excavation (1950-),HILL ROAD,Excavation by Maidstone Archaeological Group in advance of scrub clearance,,1982-01-01T00:00:00,1982-12-31T00:00:00
50041,8,EKE4744,Excavation,Antiquarian Excavation (pre-1950),BARROW HILL,"*ON DEPOSIT OF FOSSIL SPONGE BEADS IN GEOLOGY DEPT. As the result of denudation of a burial mound of marsh turf, the outline of a collapsed oblong cist of Kentish ragstone was visible on Higham Marshes. It was excavated in 1880 by Mr E.L.Arnold and found to contain a crouched skeleton (very crushed) accompanied by 79 beads ",,01/01/1880,12/12/1880
50047,9,EKE4035,Excavation,Antiquarian Excavation (pre-1950),HOTHFIELD COMMON,"Recovery of finds by soldiers during drainage works. This was followed by 'scientific' archaeological investigation. *ONE POT ASHFORD CIVIC CENTRE,ONE WITH HON.SEC.ASHAS.",,01/01/1942,31/12/1942
50052,10,EKE4046,Excavation,Full Excavation (1950-),SANDOWN,,,1990-01-01T00:00:00,1999-12-31T00:00:00
50053,11,EKE4040,,Partial Investigation,HIGHSTED QUARRY,Salvage excavation in advance of quarrying in 1955 under the direction of Mr D. T. A. Ponton.POTTERY STOLEN : THREE POTS PROBABLY FROM SITE RETRIEVED AND,,1955-01-01T00:00:00,1955-12-31T00:00:00
50058,12,EKE4431,Watching Brief,Partial Investigation,RIVER MEADOWS,,,1971-01-01T00:00:00,1971-12-31T00:00:00
50059,13,EKE3722,Excavation,Partial Investigation,WARREN FARM,Partial excavation of a barrow by Ashford Archaeological Society.,,1964-01-01T00:00:00,1965-12-31T00:00:00
50061,14,EKE4676,Excavation,Casual Observation,"SALTERFEN,CANTERBURY ROAD",Burials and finds retrieved by the landowner during landscape gardening in 1966 and donated to Maidstone Museum.,,1966-01-01T00:00:00,1968-12-31T00:00:00
50065,15,EKE3755,Excavation,Full Excavation (1950-),BUCKHOLT FARM,*SOURCE OF CRAWFORDS OS RECORD MAY BE G.PAYNE'S NOTEBOOKS,,1900-01-01T00:00:00,1999-12-31T00:00:00
50068,16,EKE3758,Excavation,Full Excavation (1950-),SWINGARD (OR CAGE)HILL,,,1970-01-01T00:00:00,1970-12-31T00:00:00
50073,17,EKE4060,Excavation,Full Excavation (1950-),IFFIN WOOD,,,1943-01-01T00:00:00,1943-12-31T00:00:00
50074,18,EKE3768,Excavation,Antiquarian Excavation (pre-1950),SWARLING MANOR FARM,Salvage excavation in advance of gravel quarrying led by L. Woolley and J.P. Bushe-Fox.*ONE OR TWO POTS FROM SITE OWNER.,,01/01/1921,31/12/1921
