GID_ref,HER_reference_ID,HER_reference_type,Reference_type,Authors,Year,Main_title,Editors,Edited_volume_title,Journal_title,Journal_volume,Monograph_series_details,Start_page,End_page,Publisher,Place_of_publication,Report_no,OASIS_no,DOI,URL,Date_accessed
50000,SKE11897,Article in serial,Journal Article,Various,1967,Reports 1966: Reports From Local Secretaries & Groups,,,,,,,,,,,,,,
50001,SKE11899,Article in serial,Journal Article,Various,1968,"Report 1967, Reports from Local Secretaries and Groups",,,,,,,,,,,,,,
50002,SKE11900,Article in serial,Journal Article,Various,1970,Investigations and Excavations During the Year 1969,,,,,,,,,,,,,,
50003,SKE23999,Monograph,Book,"Philp, B.; Dutto, M.",2005,The Medway Megaliths: An illustrated guide to the famous Neolithic chambered long-barrows of the Medway area,,,,,,,,,,,,,,
50004,SKE24830,Article in serial,Journal Article,"Wysocki, M., Griffiths, S., Hedges, R., Bayliss, A., Higham, T., Fernandez-Jalvo, Y. and Whittle, A.",2013,"Dates, Diet, and Dismemberment: Evidence from the Coldrum Megalithic Monument, Kent",,,,,,,,,,,,,,
50005,SKE7127,Unpublished document,Report,Lawson-Price Environmental,1996,Specification for Archaeological & Historical Landscape Baseline Studies: Holborough,,,,,,,,,,,,,,
50006,SKE12220,Unpublished document,Report,Oxford Archaeological Unit,1997,"The Ebbsfleet Valley, Northfleet, Kent: ARC EFT 97: Archaeological Evaluation: Volume 1 Report",,,,,,,,,,,,,,
50007,SKE12221,Unpublished document,Report,Oxford Archaeological Unit,1997,"The Ebbsfleet Valley, Northfleet Kent, ARC EFT 97: Archaeological Evalaution: Volume 2 Appendices",,,,,,,,,,,,,,
50008,SKE12222,Unpublished document,Report,Oxford Archaeological Unit,1997,"The Ebbsfleet Valley, Northfleet, Kent: ARC EFT 97: Archaeological Evaluation: Volume 3 Figures and Plates",,,,,,,,,,,,,,
50009,SKE12227,Unpublished document,Report,Oxford Archaeological Unit,2001,"Channel Tunnel Rail Link Ebbsfleet Sports Ground, Northfleet,  ARC ESG00, Phase 2 Evaluation Archaeological Works Fieldwork Report Final",,,,,,,,,,,,,,
50010,SKE12256,Unpublished document,Report,Oxford Archaeology,2003,"Ebbsfleet Valley Detailed Mitigation Works, Northfleet, Kent: Interim Statement",,,,,,,,,,,,,,
50011,SWX6940,Unpublished document,Report,Oxford Archaeological Unit,1995,South Thames-Side Development Route IV,,,,,,,,,,,,,,
50012,SKE6732,Unpublished document,Report,Unknown,1991,Backfilling & Restoration Proposals Barming Quarry,,,,,,,,,,,,,,
50013,SKE11890,Unpublished document,Report,Oxford Archaeology,1989,"Little Kit's Coty, Aylesford, Kent: Archaeological Assessment",,,,,,,,,,,,,,
50014,SKE6554,Collection,Unknown,,,"""KITS COTY""",,,,,,,,,,,,,,
50015,SWX12323,Unpublished document,Report,Wessex Archaeology,2005,North Kent Coast Rapid Coastal Zone Assessment Survey: Phase ll: Field Assessment Year Two Report,,,,,,,,,,,,,,
50016,SKE15791,Unpublished document,Report,Archaeology South-East,2009,"Archaeological investigations at Grain - Shorne pipeline, Isle of Grain, Kent: Phase 7 Post-excavation assessment and project design for publication [DRAFT]",,,,,,,,,,,,,,
50017,SKE18113,Unpublished document,Report,Archaeology South-East,2012,"Archaeological Investigations along the Isle of Grain   Shorne Pipeline Route, Hoo Peninsula, Kent: Publication Report",,,,,,,,,,,,,,
50018,SKE8134,Unpublished document,Report,Scott Wilson,2002,Proposed Development on Land at Waterbrook: Environmental Impact Assessment,,,,,,,,,,,,,,
50019,SKE7373,Unpublished document,Report,Anthony E. Collins,1992,Archaeological Potential of the Hythe Haven,,,,,,,,,,,,,,
50020,SKE7946,Article in serial,Journal Article,"Ashbee, P.; Dunning, G.",1960,The round barrows of East Kent,,,Archaeologia Cantiana,74,,48,58,,,,,,http://www.kentarchaeology.org.uk/Research/Pub/ArchCant/Vol.074%20-%201960/074-02.pdf,20/10/2017
50021,SKE7953,Unpublished document,Unpublished (Unspecified),Royal Museum Canterbury,,Accessions Book Royal Museum Canterbury,,,,,,,,,,,,,,
50022,SKE7002,Unpublished document,Report,Canterbury Archaeological Trust,1994,A28 Sturry Bypass: A Interim Review of the Archaeological Resource and Historic Landscape,,,,,,,,,,,,,,
50023,SKE6497,Collection,Unknown,,1943,"""WATERWORKS HILL TUMULUS""",,,,,,,,,,,,,,
50024,SKE6910,Unpublished document,Report,RPS Clouston,1994,Folkestone & Dover Water services: Bluehouse to Cherry Garden Trunk Main,,,,,,,,,,,,,,
50025,SKE8035,Article in serial,Journal Article,"Stebbing, W. P. D.",1944,"Cherry Garden Hill Tumulus, Folkestone",,,Archaeologia Cantiana,56,,,,,,,,,,
50026,SKE11889,Unpublished document,Report,Kent Archaeolological Rescue Unit,1989,Folkestone Roman Villa Excavation,,,,,,,,,,,,,,
50027,SKE12095,Article in serial,Journal Article,"Keller, P. T.",1989,"Quern Production at Folkestone, South-East Kent: An Interim Note",,,,,,,,,,,,,,
50028,SKE31116,Unpublished document,Report,Canterbury Archaeological Trust LTD,2012,"Interim report on the Roman villa excavations. East Wear Bay, Folkestone, Kent",,,,,,,,,,,,,,
