GID_date,Period_number,Period,Sub_period,Start_date,End_date,Confidence_in_date
50011,10,Iron Age,Late Iron Age,-50,45,Y
50020,10,Iron Age,Late Iron Age,-100,42,N
50022,10,Iron Age,Late Iron Age,-100,42,Y
50029,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
50043,10,Iron Age,Late Iron Age,1,42,Y
50047,10,Iron Age,Late Iron Age,25,50,Y
50052,10,Iron Age,Late Iron Age,1,50,Y
50062,10,Iron Age,Late Iron Age,-100,42,Y
50064,10,Iron Age,Late Iron Age,-100,42,Y
50065,5,Bronze Age,Early Bronze Age,-2200,-1700,Y
50069,10,Iron Age,Late Iron Age,-100,42,Y
50156,5,Bronze Age,Early Bronze Age,-1900,-1501,Y
50157,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
50170,4,Bronze Age,Beaker/Chalcolithic,-2100,-1800,Y
50189,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
50206,5,Bronze Age,Early Bronze Age,-2200,-1800,Y
50209,6,Bronze Age,Middle Bronze Age,-1500,-1150,Y
50241,17,Neolithic/Bronze Age,n/a,-4000,-1801,Y
50256,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
50466,4,Bronze Age,Beaker/Chalcolithic,-2450,-1900,Y
50602,4,Bronze Age,Beaker/Chalcolithic,-2450,-2201,Y
50116,14,Iron Age,n/a,-800,42,Y
50772,5,Bronze Age,Early Bronze Age,-1750,-1501,Y
50018,10,Iron Age,Late Iron Age,-100,42,Y
50021,10,Iron Age,Late Iron Age,-50,42,Y
50040,10,Iron Age,Late Iron Age,-100,42,Y
50044,10,Iron Age,Late Iron Age,25,50,Y
50108,10,Iron Age,Late Iron Age,-100,42,Y
50119,10,Iron Age,Late Iron Age,-100,42,Y
50130,10,Iron Age,Late Iron Age,1,100,Y
50141,10,Iron Age,Late Iron Age,-100,42,Y
50146,10,Iron Age,Late Iron Age,-100,42,Y
50163,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
50195,13,Bronze Age,n/a,-2450,-2001,Y
50216,9,Iron Age,Middle Iron Age,-400,-101,Y
50221,5,Bronze Age,Early Bronze Age,-1700,-1501,Y
50227,5,Bronze Age,Early Bronze Age,-2200,-1700,Y
50280,6,Bronze Age,Middle Bronze Age,-1500,-1150,Y
50448,4,Bronze Age,Beaker/Chalcolithic,-2450,-2201,N
50604,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
50007,5,Bronze Age,Early Bronze Age,-1800,-1501,Y
50019,10,Iron Age,Late Iron Age,-100,42,Y
50041,10,Iron Age,Late Iron Age,1,42,Y
50042,10,Iron Age,Late Iron Age,1,42,Y
50045,10,Iron Age,Late Iron Age,25,50,Y
50046,10,Iron Age,Late Iron Age,25,50,Y
50049,10,Iron Age,Late Iron Age,25,50,Y
50055,10,Iron Age,Late Iron Age,1,50,Y
50056,10,Iron Age,Late Iron Age,1,50,Y
50058,10,Iron Age,Late Iron Age,1,50,Y
50060,10,Iron Age,Late Iron Age,1,50,Y
50061,10,Iron Age,Late Iron Age,1,100,Y
50068,10,Iron Age,Late Iron Age,-100,42,Y
50115,14,Iron Age,n/a,-800,42,N
50211,6,Bronze Age,Middle Bronze Age,-1500,-1150,Y
50220,5,Bronze Age,Early Bronze Age,-1700,-1701,Y
50451,4,Bronze Age,Beaker/Chalcolithic,-2450,-2201,Y
50603,5,Bronze Age,Early Bronze Age,-2120,-1781,Y
50708,5,Bronze Age,Early Bronze Age,-1950,-1750,Y
50709,5,Bronze Age,Early Bronze Age,-1950,-1750,Y
40000,1,Neolithic,Early Neolithic,-4000,-3301,Y
40025,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
40028,5,Bronze Age,Early Bronze Age,-2000,-1501,Y
40032,5,Bronze Age,Early Bronze Age,-2200,-1800,Y
40035,5,Bronze Age,Early Bronze Age,-2200,-1700,Y
40038,5,Bronze Age,Early Bronze Age,-2200,-1801,Y
40046,5,Bronze Age,Early Bronze Age,-2200,-1800,Y
40051,5,Bronze Age,Early Bronze Age,-1800,-1501,Y
40054,5,Bronze Age,Early Bronze Age,-2200,-1600,Y
40059,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
40065,17,Neolithic/Bronze Age,n/a,-4000,-801,Y
40078,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
40096,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
40112,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
40117,5,Bronze Age,Early Bronze Age,-2200,-1700,Y
40120,5,Bronze Age,Early Bronze Age,-1900,-1501,Y
40139,1,Neolithic,Early Neolithic,-4000,-3301,Y
40140,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
40145,5,Bronze Age,Early Bronze Age,-2200,-1700,Y
40155,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
40158,5,Bronze Age,Early Bronze Age,-2200,-1700,Y
40175,5,Bronze Age,Early Bronze Age,-2200,-1800,Y
40194,1,Neolithic,Early Neolithic,-4000,-3301,Y
40198,4,Bronze Age,Beaker/Chalcolithic,-2450,-2201,Y
40058,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
40202,4,Bronze Age,Beaker/Chalcolithic,-2450,-2201,Y
40264,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
40292,4,Bronze Age,Beaker/Chalcolithic,-2450,-2201,Y
40403,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
40203,4,Bronze Age,Beaker/Chalcolithic,-2450,-2201,Y
